Case_ID,URL,Job_Title,Monthly_Salary,Raw_JSON
臺灣臺中地方法院 114 年度 重勞訴 字第 24 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TCDV%2c114%2c%e9%87%8d%e5%8b%9e%e8%a8%b4%2c24%2c20260114%2c1&ot=in,,209255.0,"{""job_title"": null, ""monthly_salary"": 209255, ""currency"": ""TWD""}"
臺灣臺北地方法院 114 年度 勞訴 字第 326 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDV%2c114%2c%e5%8b%9e%e8%a8%b4%2c326%2c20260113%2c1&ot=in,北區醫療業務代表,48000.0,"{""job_title"": ""北區醫療業務代表"", ""monthly_salary"": 48000, ""currency"": ""TWD""}"
臺灣臺北地方法院 115 年度 勞補 字第 23 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDV%2c115%2c%e5%8b%9e%e8%a3%9c%2c23%2c20260112%2c1&ot=in,,250000.0,"{""job_title"": null, ""monthly_salary"": 250000, ""currency"": ""TWD""}"
臺灣臺北地方法院 114 年度 勞全 字第 69 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDV%2c114%2c%e5%8b%9e%e5%85%a8%2c69%2c20260112%2c1&ot=in,職安經理,85334.0,"{""job_title"": ""職安經理"", ""monthly_salary"": 85334, ""currency"": ""TWD""}"
臺灣臺中地方法院 114 年度 勞補 字第 729 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TCDV%2c114%2c%e5%8b%9e%e8%a3%9c%2c729%2c20260127%2c1&ot=in,五福旅行社股份有限公司台中分公司,32000.0,"{""job_title"": ""五福旅行社股份有限公司台中分公司"", ""monthly_salary"": 32000, ""currency"": ""TWD""}"
臺灣臺中地方法院 115 年度 勞訴 字第 3 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TCDV%2c115%2c%e5%8b%9e%e8%a8%b4%2c3%2c20260126%2c1&ot=in,山隆通運股份有限公司,45800.0,"{""job_title"": ""山隆通運股份有限公司"", ""monthly_salary"": 45800, ""currency"": ""TWD""}"
臺灣臺北地方法院 114 年度 勞訴 字第 291 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDV%2c114%2c%e5%8b%9e%e8%a8%b4%2c291%2c20260116%2c1&ot=in,環保員,,"{""job_title"": ""環保員"", ""monthly_salary"": null, ""currency"": ""TWD""}"
臺灣臺北地方法院 114 年度 重勞訴 字第 36 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDV%2c114%2c%e9%87%8d%e5%8b%9e%e8%a8%b4%2c36%2c20260116%2c1&ot=in,HR Manager,110000.0,"{""job_title"": ""HR Manager"", ""monthly_salary"": 110000, ""currency"": ""TWD""}"
臺灣臺北地方法院 115 年度 司他 字第 19 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDV%2c115%2c%e5%8f%b8%e4%bb%96%2c19%2c20260115%2c1&ot=in,忠正保全股份有限公司,44076.0,"{""job_title"": ""忠正保全股份有限公司"", ""monthly_salary"": 44076, ""currency"": ""TWD""}"
臺灣高等法院 臺南分院 113 年度 重勞上 字第 4 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TNHV%2c113%2c%e9%87%8d%e5%8b%9e%e4%b8%8a%2c4%2c20260120%2c1&ot=in,會計事務,41080.0,"{""job_title"": ""會計事務"", ""monthly_salary"": 41080, ""currency"": ""TWD""}"
臺灣臺中地方法院 114 年度 勞補 字第 934 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TCDV%2c114%2c%e5%8b%9e%e8%a3%9c%2c934%2c20260112%2c1&ot=in,臺灣菸酒股份有限公司,34000.0,"{""job_title"": ""臺灣菸酒股份有限公司"", ""monthly_salary"": 34000, ""currency"": ""TWD""}"
臺灣士林地方法院 114 年度 勞全 字第 21 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=SLDV%2c114%2c%e5%8b%9e%e5%85%a8%2c21%2c20260112%2c1&ot=in,大夜班護理師,60800.0,"{""job_title"": ""大夜班護理師"", ""monthly_salary"": 60800, ""currency"": ""TWD""}"
臺灣新北地方法院 114 年度 審勞補 字第 48 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=PCDV%2c114%2c%e5%af%a9%e5%8b%9e%e8%a3%9c%2c48%2c20260109%2c1&ot=in,貓膩會館,35000.0,"{""job_title"": ""貓膩會館"", ""monthly_salary"": 35000, ""currency"": ""TWD""}"
臺灣臺北地方法院 114 年度 勞訴 字第 328 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDV%2c114%2c%e5%8b%9e%e8%a8%b4%2c328%2c20260109%2c1&ot=in,技術行銷長,80000.0,"{""job_title"": ""技術行銷長"", ""monthly_salary"": 80000, ""currency"": ""TWD""}"
臺灣臺北地方法院 114 年度 重勞訴 字第 28 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDV%2c114%2c%e9%87%8d%e5%8b%9e%e8%a8%b4%2c28%2c20260109%2c1&ot=in,企業服務事業群之副總經理,401313.0,"{""job_title"": ""企業服務事業群之副總經理"", ""monthly_salary"": 401313, ""currency"": ""TWD""}"
臺北高等行政法院 高等庭 111 年度 訴 字第 1472 號判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPBA%2c111%2c%e8%a8%b4%2c1472%2c20260108%2c2&ot=in,神經內科主治醫師,,"{""job_title"": ""神經內科主治醫師"", ""monthly_salary"": null, ""currency"": ""TWD""}"
臺灣臺中地方法院 114 年度 勞補 字第 738 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TCDV%2c114%2c%e5%8b%9e%e8%a3%9c%2c738%2c20260108%2c1&ot=in,中山醫學大學附設醫院,86020.0,"{""job_title"": ""中山醫學大學附設醫院"", ""monthly_salary"": 86020, ""currency"": ""TWD""}"
臺灣彰化地方法院 115 年度 司他 字第 8 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=CHDV%2c115%2c%e5%8f%b8%e4%bb%96%2c8%2c20260108%2c1&ot=in,鑫巃精密股份有限公司,42000.0,"{""job_title"": ""鑫巃精密股份有限公司"", ""monthly_salary"": 42000, ""currency"": ""TWD""}"
臺灣臺北地方法院 114 年度 重勞訴 字第 16 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDV%2c114%2c%e9%87%8d%e5%8b%9e%e8%a8%b4%2c16%2c20260108%2c1&ot=in,招募專員,120000.0,"{""job_title"": ""招募專員"", ""monthly_salary"": 120000, ""currency"": ""TWD""}"
臺灣臺北地方法院 114 年度 勞訴 字第 136 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDV%2c114%2c%e5%8b%9e%e8%a8%b4%2c136%2c20260108%2c2&ot=in,一般行政管理員,69174.0,"{""job_title"": ""一般行政管理員"", ""monthly_salary"": 69174, ""currency"": ""TWD""}"
臺灣臺南地方法院 115 年度 勞補 字第 2 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TNDV%2c115%2c%e5%8b%9e%e8%a3%9c%2c2%2c20260107%2c1&ot=in,千香食品有限公司,39000.0,"{""job_title"": ""千香食品有限公司"", ""monthly_salary"": 39000, ""currency"": ""TWD""}"
臺灣高雄地方法院 113 年度 重勞訴 字第 1 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=KSDV%2c113%2c%e9%87%8d%e5%8b%9e%e8%a8%b4%2c1%2c20260106%2c1&ot=in,生命教育科專任教師,46784.0,"{""job_title"": ""生命教育科專任教師"", ""monthly_salary"": 46784, ""currency"": ""TWD""}"
臺灣新北地方法院 115 年度 勞訴 字第 1 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=PCDV%2c115%2c%e5%8b%9e%e8%a8%b4%2c1%2c20260105%2c1&ot=in,森民藥局,81000.0,"{""job_title"": ""森民藥局"", ""monthly_salary"": 81000, ""currency"": ""TWD""}"
臺灣新竹地方法院 115 年度 勞補 字第 5 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=SCDV%2c115%2c%e5%8b%9e%e8%a3%9c%2c5%2c20260105%2c1&ot=in,乾坤科技股份有限公司,38500.0,"{""job_title"": ""乾坤科技股份有限公司"", ""monthly_salary"": 38500, ""currency"": ""TWD""}"
臺灣新北地方法院 114 年度 勞訴 字第 125 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=PCDV%2c114%2c%e5%8b%9e%e8%a8%b4%2c125%2c20260107%2c1&ot=in,國外業務,43000.0,"{""job_title"": ""國外業務"", ""monthly_salary"": 43000, ""currency"": ""TWD""}"
臺灣新竹地方法院 114 年度 勞訴 字第 83 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=SCDV%2c114%2c%e5%8b%9e%e8%a8%b4%2c83%2c20260107%2c1&ot=in,業務協理,202900.0,"{""job_title"": ""業務協理"", ""monthly_salary"": 202900, ""currency"": ""TWD""}"
臺灣高等法院 114 年度 勞上易 字第 45 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPHV%2c114%2c%e5%8b%9e%e4%b8%8a%e6%98%93%2c45%2c20260106%2c1&ot=in,聖歌隊指揮,13000.0,"{""job_title"": ""聖歌隊指揮"", ""monthly_salary"": 13000, ""currency"": ""TWD""}"
臺灣雲林地方法院 114 年度 勞補 字第 41 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=ULDV%2c114%2c%e5%8b%9e%e8%a3%9c%2c41%2c20260106%2c1&ot=in,,60000.0,"{""job_title"": null, ""monthly_salary"": 60000, ""currency"": ""TWD""}"
臺灣桃園地方法院 114 年度 勞訴 字第 176 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TYDV%2c114%2c%e5%8b%9e%e8%a8%b4%2c176%2c20260102%2c1&ot=in,諾瓦材料科技股份有限公司,53500.0,"{""job_title"": ""諾瓦材料科技股份有限公司"", ""monthly_salary"": 53500, ""currency"": ""TWD""}"
臺灣高等法院 臺中分院 114 年度 勞上 字第 1 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TCHV%2c114%2c%e5%8b%9e%e4%b8%8a%2c1%2c20251231%2c1&ot=in,助理員,52000.0,"{""job_title"": ""助理員"", ""monthly_salary"": 52000, ""currency"": ""TWD""}"
臺灣臺北地方法院 114 年度 勞訴 字第 32 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDV%2c114%2c%e5%8b%9e%e8%a8%b4%2c32%2c20251231%2c3&ot=in,,19000.0,"{""job_title"": null, ""monthly_salary"": 19000, ""currency"": ""TWD""}"
臺灣臺中地方法院 114 年度 重勞訴 字第 30 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TCDV%2c114%2c%e9%87%8d%e5%8b%9e%e8%a8%b4%2c30%2c20251231%2c1&ot=in,睿奇健康股份有限公司,,"{""job_title"": ""睿奇健康股份有限公司"", ""monthly_salary"": null, ""currency"": ""TWD""}"
臺灣臺中地方法院 114 年度 勞補 字第 963 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TCDV%2c114%2c%e5%8b%9e%e8%a3%9c%2c963%2c20251231%2c1&ot=in,法特科技有限公司,,"{""job_title"": ""法特科技有限公司"", ""monthly_salary"": null, ""currency"": ""TWD""}"
臺灣臺中地方法院 114 年度 勞補 字第 932 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TCDV%2c114%2c%e5%8b%9e%e8%a3%9c%2c932%2c20251231%2c1&ot=in,,87606.0,"{""job_title"": null, ""monthly_salary"": 87606, ""currency"": ""TWD""}"
臺灣高雄地方法院 114 年度 勞補 字第 301 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=KSDV%2c114%2c%e5%8b%9e%e8%a3%9c%2c301%2c20251231%2c1&ot=in,,32357.0,"{""job_title"": null, ""monthly_salary"": 32357, ""currency"": ""TWD""}"
臺灣臺中地方法院 114 年度 救 字第 233 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TCDV%2c114%2c%e6%95%91%2c233%2c20251231%2c1&ot=in,相寓專業驗屋企業社,,"{""job_title"": ""相寓專業驗屋企業社"", ""monthly_salary"": null, ""currency"": ""TWD""}"
臺灣桃園地方法院 114 年度 勞訴 字第 118 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TYDV%2c114%2c%e5%8b%9e%e8%a8%b4%2c118%2c20251231%2c1&ot=in,銷售總監,,"{""job_title"": ""銷售總監"", ""monthly_salary"": null, ""currency"": ""TWD""}"
最高法院 114 年度 台上 字第 2002 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPSV%2c114%2c%e5%8f%b0%e4%b8%8a%2c2002%2c20251230%2c1&ot=in,東竹分部主任,71800.0,"{""job_title"": ""東竹分部主任"", ""monthly_salary"": 71800, ""currency"": ""TWD""}"
臺灣高雄地方法院 114 年度 勞訴 字第 105 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=KSDV%2c114%2c%e5%8b%9e%e8%a8%b4%2c105%2c20251230%2c1&ot=in,營運士,50000.0,"{""job_title"": ""營運士"", ""monthly_salary"": 50000, ""currency"": ""TWD""}"
臺灣臺北地方法院 113 年度 勞訴 字第 372 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDV%2c113%2c%e5%8b%9e%e8%a8%b4%2c372%2c20251230%2c1&ot=in,資訊部專案管理師,50000.0,"{""job_title"": ""資訊部專案管理師"", ""monthly_salary"": 50000, ""currency"": ""TWD""}"
臺灣桃園地方法院 114 年度 勞訴 字第 122 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TYDV%2c114%2c%e5%8b%9e%e8%a8%b4%2c122%2c20251230%2c1&ot=in,資深相機軟體工程師,85000.0,"{""job_title"": ""資深相機軟體工程師"", ""monthly_salary"": 85000, ""currency"": ""TWD""}"
臺灣臺中地方法院 113 年度 勞訴 字第 147 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TCDV%2c113%2c%e5%8b%9e%e8%a8%b4%2c147%2c20251230%2c1&ot=in,財務部助理,38000.0,"{""job_title"": ""財務部助理"", ""monthly_salary"": 38000, ""currency"": ""TWD""}"
臺灣臺中地方法院 114 年度 勞補 字第 899 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TCDV%2c114%2c%e5%8b%9e%e8%a3%9c%2c899%2c20251229%2c1&ot=in,,34800.0,"{""job_title"": null, ""monthly_salary"": 34800, ""currency"": ""TWD""}"
臺灣士林地方法院 114 年度 勞補 字第 187 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=SLDV%2c114%2c%e5%8b%9e%e8%a3%9c%2c187%2c20251229%2c1&ot=in,,63000.0,"{""job_title"": null, ""monthly_salary"": 63000, ""currency"": ""TWD""}"
臺灣新北地方法院 113 年度 勞訴 字第 218 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=PCDV%2c113%2c%e5%8b%9e%e8%a8%b4%2c218%2c20251229%2c2&ot=in,羽道館有限公司,,"{""job_title"": ""羽道館有限公司"", ""monthly_salary"": null, ""currency"": ""TWD""}"
臺灣橋頭地方法院 114 年度 勞補 字第 192 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=CTDV%2c114%2c%e5%8b%9e%e8%a3%9c%2c192%2c20251226%2c1&ot=in,,76500.0,"{""job_title"": null, ""monthly_salary"": 76500, ""currency"": ""TWD""}"
臺灣橋頭地方法院 114 年度 勞補 字第 204 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=CTDV%2c114%2c%e5%8b%9e%e8%a3%9c%2c204%2c20251226%2c1&ot=in,昶暘安全有限公司,,"{""job_title"": ""昶暘安全有限公司"", ""monthly_salary"": null, ""currency"": ""TWD""}"
臺灣臺南地方法院 114 年度 勞事聲 字第 5 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TNDV%2c114%2c%e5%8b%9e%e4%ba%8b%e8%81%b2%2c5%2c20251226%2c1&ot=in,,41143.0,"{""job_title"": null, ""monthly_salary"": 41143, ""currency"": ""TWD""}"
臺灣橋頭地方法院 114 年度 勞訴 字第 67 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=CTDV%2c114%2c%e5%8b%9e%e8%a8%b4%2c67%2c20251226%2c1&ot=in,董事長特助,75000.0,"{""job_title"": ""董事長特助"", ""monthly_salary"": 75000, ""currency"": ""TWD""}"
臺灣新竹地方法院 114 年度 重勞訴 字第 3 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=SCDV%2c114%2c%e9%87%8d%e5%8b%9e%e8%a8%b4%2c3%2c20251226%2c1&ot=in,研發工程師,97700.0,"{""job_title"": ""研發工程師"", ""monthly_salary"": 97700, ""currency"": ""TWD""}"
臺灣臺北地方法院 114 年度 重勞訴 字第 25 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDV%2c114%2c%e9%87%8d%e5%8b%9e%e8%a8%b4%2c25%2c20251226%2c1&ot=in,法務協理,150000.0,"{""job_title"": ""法務協理"", ""monthly_salary"": 150000, ""currency"": ""TWD""}"
臺灣花蓮地方法院 114 年度 勞訴 字第 15 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=HLDV%2c114%2c%e5%8b%9e%e8%a8%b4%2c15%2c20251226%2c1&ot=in,資料管理專員,40000.0,"{""job_title"": ""資料管理專員"", ""monthly_salary"": 40000, ""currency"": ""TWD""}"
最高法院 114 年度 台上 字第 1497 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPSV%2c114%2c%e5%8f%b0%e4%b8%8a%2c1497%2c20251224%2c1&ot=in,人資及財務人員,34000.0,"{""job_title"": ""人資及財務人員"", ""monthly_salary"": 34000, ""currency"": ""TWD""}"
臺灣臺北地方法院 113 年度 重勞訴更一 字第 1 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDV%2c113%2c%e9%87%8d%e5%8b%9e%e8%a8%b4%e6%9b%b4%e4%b8%80%2c1%2c20251224%2c1&ot=in,專案經理,122500.0,"{""job_title"": ""專案經理"", ""monthly_salary"": 122500, ""currency"": ""TWD""}"
臺灣新北地方法院 114 年度 勞簡 字第 44 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=PCDV%2c114%2c%e5%8b%9e%e7%b0%a1%2c44%2c20251224%2c2&ot=in,保全員,38000.0,"{""job_title"": ""保全員"", ""monthly_salary"": 38000, ""currency"": ""TWD""}"
臺灣高等法院 高雄分院 114 年度 勞上 字第 21 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=KSHV%2c114%2c%e5%8b%9e%e4%b8%8a%2c21%2c20251223%2c1&ot=in,工程師、資深工程師,42950.0,"{""job_title"": ""工程師、資深工程師"", ""monthly_salary"": 42950, ""currency"": ""TWD""}"
臺灣臺北地方法院 113 年度 勞訴 字第 303 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDV%2c113%2c%e5%8b%9e%e8%a8%b4%2c303%2c20251223%2c1&ot=in,技術顧問,63000.0,"{""job_title"": ""技術顧問"", ""monthly_salary"": 63000, ""currency"": ""TWD""}"
臺灣臺北地方法院 114 年度 勞訴 字第 154 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDV%2c114%2c%e5%8b%9e%e8%a8%b4%2c154%2c20251223%2c1&ot=in,上海商業儲蓄銀行股份有限公司,,"{""job_title"": ""上海商業儲蓄銀行股份有限公司"", ""monthly_salary"": null, ""currency"": ""TWD""}"
臺北高等行政法院 高等庭 114 年度 簡上 字第 128 號裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPBA%2c114%2c%e7%b0%a1%e4%b8%8a%2c128%2c20251222%2c1&ot=in,,,"{""job_title"": null, ""monthly_salary"": null, ""currency"": ""TWD""}"
臺灣臺北地方法院 114 年度 勞訴 字第 6 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDV%2c114%2c%e5%8b%9e%e8%a8%b4%2c6%2c20251222%2c1&ot=in,Commodity management leader,94900.0,"{""job_title"": ""Commodity management leader"", ""monthly_salary"": 94900, ""currency"": ""TWD""}"
臺灣臺北地方法院 114 年度 勞全 字第 67 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDV%2c114%2c%e5%8b%9e%e5%85%a8%2c67%2c20251219%2c1&ot=in,海外客服業務,53000.0,"{""job_title"": ""海外客服業務"", ""monthly_salary"": 53000, ""currency"": ""TWD""}"
臺灣高雄地方法院 114 年度 勞訴 字第 73 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=KSDV%2c114%2c%e5%8b%9e%e8%a8%b4%2c73%2c20251219%2c1&ot=in,廚師,43836.0,"{""job_title"": ""廚師"", ""monthly_salary"": 43836, ""currency"": ""TWD""}"
臺灣臺南地方法院 113 年度 勞訴 字第 145 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TNDV%2c113%2c%e5%8b%9e%e8%a8%b4%2c145%2c20251219%2c1&ot=in,製造部錫球課錫球第一組生產技術員,32060.0,"{""job_title"": ""製造部錫球課錫球第一組生產技術員"", ""monthly_salary"": 32060, ""currency"": ""TWD""}"
臺灣臺北地方法院 114 年度 勞補 字第 506 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDV%2c114%2c%e5%8b%9e%e8%a3%9c%2c506%2c20251217%2c1&ot=in,,70000.0,"{""job_title"": null, ""monthly_salary"": 70000, ""currency"": ""TWD""}"
臺灣臺北地方法院 114 年度 勞全 字第 66 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDV%2c114%2c%e5%8b%9e%e5%85%a8%2c66%2c20251217%2c2&ot=in,竹安企業有限公司,,"{""job_title"": ""竹安企業有限公司"", ""monthly_salary"": null, ""currency"": ""TWD""}"
臺灣臺北地方法院 114 年度 勞訴 字第 362 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDV%2c114%2c%e5%8b%9e%e8%a8%b4%2c362%2c20251217%2c2&ot=in,機電助理,42000.0,"{""job_title"": ""機電助理"", ""monthly_salary"": 42000, ""currency"": ""TWD""}"
臺灣臺北地方法院 114 年度 勞訴 字第 107 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDV%2c114%2c%e5%8b%9e%e8%a8%b4%2c107%2c20251217%2c1&ot=in,5職等試用助理辦事員,38230.0,"{""job_title"": ""5職等試用助理辦事員"", ""monthly_salary"": 38230, ""currency"": ""TWD""}"
臺灣新北地方法院 114 年度 勞訴 字第 32 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=PCDV%2c114%2c%e5%8b%9e%e8%a8%b4%2c32%2c20251216%2c1&ot=in,萬金國際科技股份有限公司,,"{""job_title"": ""萬金國際科技股份有限公司"", ""monthly_salary"": null, ""currency"": ""TWD""}"
